,city,latitude,longitude,time dt,timezone,temperature,humidity_perc,cloudiness_perc,wind_speed
92,lompoc,34.64,-120.46,1561595224,-25200,68.95,68,1,17.22
93,upernavik,72.79,-56.15,1561595225,-7200,34.46,87,0,11.25
94,egvekinot,66.32,-179.17,1561595174,43200,39.5,88,100,13.73
95,songjianghe,42.18,127.48,1561595228,28800,73.88,49,9,5.17
96,alibag,18.64,72.88,1561595229,19800,82.4,88,75,4.7
97,sabha,27.03,14.43,1561595191,7200,88.1,25,46,13.67
98,guerrero+negro,27.97,-114.04,1561595221,-21600,64.52,82,100,13.02
99,lujan,-46.57,-67.67,1561595232,-10800,38.42,73,78,10.47
100,booue,-0.09,11.94,1561595234,3600,69.38,89,85,1.86
101,ahipara,-35.17,173.16,1561595235,43200,57.99,100,0,1.99
102,andra,62.52,65.89,1561595236,18000,47.6,67,100,6.33
104,armizonskoye,55.95,67.67,1561595239,18000,45.44,89,11,3.06
106,marfino,56.07,37.56,1561595241,10800,56.44,100,20,2.24
107,puerto+madero,-34.61,-58.36,1561595242,-10800,50.67,58,0,13.87
108,kontagora,10.4,5.47,1561595244,3600,76.22,84,78,7.58
109,sao+filipe,14.9,-24.5,1561595245,-3600,74.6,85,0,23.91
110,yumen,40.29,97.04,1561595246,28800,65.42,53,60,18.86
111,northam,-31.65,116.67,1561595248,28800,53.6,87,75,8.05
112,arukutti,9.87,76.35,1561595249,19800,80.6,94,40,2.24
113,owando,-0.49,15.91,1561595250,3600,71.36,91,65,3.13
114,college,64.86,-147.8,1561595251,-28800,77.27,17,1,5.82
115,uruzgan,32.93,66.63,1561595253,16200,56.78,21,0,4.09
116,saint-philippe,45.36,-73.48,1561595254,-14400,71.22,69,75,5.82
117,mahebourg,-20.41,57.7,1561595255,14400,73.17,94,75,10.29
118,palmas,-10.18,-48.33,1561595257,-10800,77,65,0,6.93
119,kodiak,39.95,-94.76,1561595244,-18000,83.44,58,1,8.05
120,karasjok,69.47,25.52,1561595259,7200,51.8,62,99,34.45
121,kaitangata,-46.28,169.85,1561595260,43200,57,54,0,4
122,puerto+ayora,-0.74,-90.35,1561594769,-21600,76.14,65,20,20.8
123,coquimbo,-29.95,-71.34,1561595263,-14400,51.8,81,0,6.93
124,semnan,35.58,53.39,1561595264,16200,80.6,36,40,2.75
125,islahiye,37.03,36.63,1561595265,10800,79.72,74,0,10.29
126,ilulissat,69.22,-51.1,1561595258,-7200,42.8,75,0,5.82
127,vila+franca+do+campo,37.72,-25.43,1561595220,0,64.4,72,20,11.41
128,jinka,5.79,36.57,1561595269,10800,62.54,91,3,4.23
129,hilo,19.71,-155.08,1561595234,-36000,81.03,62,40,13.87
130,vangaindrano,-23.35,47.6,1561595271,10800,62.9,94,40,5.06
